glottocode,glottocode.1,language_name,iso_code,family_id,macroarea,lat,lng,countries,speaker_count,endangerment_level,lei_score,intergenerational_transmission,level,description,country,name
aari1239,aari1239,Aari,aiw,sout2845,Africa,5.95034,36.5721,ET,162,Severely Endangered,84.5,0.5574113319423615,language,,ET,Aari
aasa1238,aasa1238,Aasax,aas,afro1255,Africa,-4.00679,36.8648,TZ,0,Extinct,100.7,0.0,language,,TZ,Aasax
abad1241,abad1241,Abadi,kbt,aust1307,Papunesia,-9.03389,146.992,PG,118,Severely Endangered,78.1,0.5010813032102082,language,,PG,Abadi
abag1245,abag1245,Abaga,abg,nucl1709,Papunesia,-6.12028,145.665,PG,57,Critically Endangered,84.9,0.2020513532339694,language,,PG,Abaga
abai1240,abai1240,Abai Sungai,abf,aust1307,Papunesia,5.55394,118.306,MY,23,Critically Endangered,89.8,0.0277650373991246,language,,MY,Abai Sungai
abai1241,abai1241,Abai Tubu-Abai Sembuak,,aust1307,Papunesia,3.524226,116.162455,ID,0,Extinct,99.7,0.0,language,,ID,Abai Tubu-Abai Sembuak
aban1242,aban1242,Abanyom,abm,atla1278,Africa,6.30619,8.63055,NG,870,Severely Endangered,82.2,0.4153181358471656,language,,NG,Abanyom
abar1238,abar1238,Mungbam,mij,atla1278,Africa,6.5805,10.2267,CM,0,Extinct,97.6,0.0,language,,CM,Mungbam
abau1245,abau1245,Abau,aau,sepi1257,Papunesia,-3.97222,141.324,PG,1313,Definitely Endangered,50.4,0.6793365092617417,language,,PG,Abau
abaz1241,abaz1241,Abaza,abq,abkh1242,Eurasia,44.25,42.0,RU TR,166334,Safe,11.8,0.974768954786597,language,,RU TR,Abaza
abee1242,abee1242,Abé,aba,atla1278,Africa,5.59682,-4.38497,CI,39,Critically Endangered,93.8,0.1676936042100522,language,,CI,Abé
aben1249,aben1249,Abenlen Ayta,abp,aust1307,Papunesia,15.4131,120.2,PH,108,Severely Endangered,78.0,0.3505103287373103,language,,PH,Abenlen Ayta
abid1235,abid1235,Abidji,abi,atla1278,Africa,5.65656,-4.58421,CI,39,Critically Endangered,87.9,0.1028356439362286,language,,CI,Abidji
abin1243,abin1243,Abinomn,bsa,,Papunesia,-2.92281,138.891,ID,47,Critically Endangered,89.7,0.0115174985518168,language,,ID,Abinomn
abip1241,abip1241,Abipon,axb,guai1249,South America,-29.0,-61.0,AR,226,Severely Endangered,74.2,0.4027318916497466,language,,AR,Abipon
abis1238,abis1238,Aewa,ash,,South America,-1.284096,-75.084405,PE,1536,Definitely Endangered,52.6,0.6065799355799931,language,,PE,Aewa
abkh1244,abkh1244,Abkhaz,abk,abkh1242,Eurasia,43.056218,41.159115,GE RU TR,6156,Definitely Endangered,51.3,0.7969054710249466,language,,GE RU TR,Abkhaz
abom1238,abom1238,Abom,aob,anim1240,Papunesia,-8.42448,142.842,PG,5594,Definitely Endangered,58.5,0.7593317216953216,language,,PG,Abom
abon1238,abon1238,Abon,abo,atla1278,Africa,6.90621,10.8769,CM NG,809,Severely Endangered,77.6,0.5875749930244581,language,,CM NG,Abon
abro1238,abro1238,Abron,abr,atla1278,Africa,7.72094,-2.50289,CI GH,314,Severely Endangered,79.9,0.4341556172174775,language,,CI GH,Abron
abua1244,abua1244,Abua,abn,atla1278,Africa,4.83057,6.61492,NG,384,Severely Endangered,72.3,0.4095225611522482,language,,NG,Abua
abua1245,abua1245,Abu' Arapesh,aah,nucl1708,Papunesia,-3.461612,142.917031,PG,447,Severely Endangered,82.9,0.5937446473139575,language,,PG,Abu' Arapesh
abui1241,abui1241,Abui,abz,timo1261,Papunesia,-8.31058,124.588,ID,184,Severely Endangered,81.9,0.5570153799431109,language,,ID,Abui
abun1252,abun1252,Abun,kgr,,Papunesia,-0.57073,132.416,ID,260,Severely Endangered,80.1,0.5083069598310183,language,,ID,Abun
abur1243,abur1243,Abure,abu,atla1278,Africa,5.21534,-3.64123,CI,880,Severely Endangered,70.0,0.4084883807285861,language,,CI,Abure
abur1244,abur1244,Abureni,mgj,atla1278,Africa,4.62301,6.50634,NG,70,Critically Endangered,86.2,0.0729390140981288,language,,NG,Abureni
abuu1241,abuu1241,Abu,ado,ramu1234,Papunesia,-4.24027,144.474,PG,604714,Safe,29.1,0.9492331496218512,language,,PG,Abu
acat1239,acat1239,Acatepec Me'phaa,tpx,otom1299,North America,17.1034,-99.0602,MX,70,Critically Endangered,84.4,0.0704228276348483,language,,MX,Acatepec Me'phaa
acha1249,acha1249,Longchuan Achang,acn,sino1245,Eurasia,24.3479,97.7438,CN MM,208,Severely Endangered,78.7,0.3530727812834401,language,,CN MM,Longchuan Achang
acha1250,acha1250,Achagua,aca,araw1281,South America,4.38649,-72.2005,CO,105,Severely Endangered,85.5,0.3960458807775914,language,,CO,Achagua
ache1244,ache1244,Ache,yif,sino1245,Eurasia,24.152,102.446,CN,726,Severely Endangered,78.1,0.3336865673629099,language,,CN,Ache
ache1245,ache1245,Acheron,acz,narr1279,Africa,10.8827,30.3187,SD,94,Critically Endangered,94.9,0.1493631697182044,language,,SD,Acheron
ache1246,ache1246,Aché,guq,tupi1275,South America,-25.5865,-56.4697,PY,34,Critically Endangered,95.7,0.2417630969414371,language,,PY,Aché
achi1256,achi1256,Achi,acr,maya1287,North America,15.073,-90.3513,GT,596,Severely Endangered,72.1,0.5843439864661673,language,,GT,Achi
achi1257,achi1257,Acehnese,ace,aust1307,Papunesia,3.90757,96.6032,ID,1683,Definitely Endangered,69.1,0.6839974400794221,language,,ID,Acehnese
achu1247,achu1247,Achumawi,acv,pala1350,North America,41.0979,-121.191,US,0,Extinct,100.3,0.0,language,,US,Achumawi
achu1248,achu1248,Achuar-Shiwiar,acu,jiva1245,South America,-2.82646,-77.2641,EC PE,515,Severely Endangered,76.7,0.5123176941254667,language,,EC PE,Achuar-Shiwiar
acol1236,acol1236,Acoli,ach,nilo1247,Africa,3.57738,32.5147,SS UG,255,Severely Endangered,74.0,0.3176116797553922,language,,SS UG,Acoli
acro1239,acro1239,Acroá,acs,nucl1710,South America,-12.20318,-45.08975,BR,39977,Vulnerable,46.6,0.8420515361282196,language,,BR,Acroá
adab1235,adab1235,Adabe,adb,book1242,Papunesia,-8.22674,125.576,ID TL,606,Severely Endangered,81.7,0.587950543935543,language,,ID TL,Adabe
adai1235,adai1235,Adai,xad,,North America,31.6314,-92.0059,US,17,Critically Endangered,97.6,0.0739488732796147,language,,US,Adai
